EmployeeId,TransDateTime,Transdate,Transtime,Type
38741,2022-03-09 12:37:00,2022-03-09,12:37:00,Leave
38741,2022-03-14 14:16:00,2022-03-14,14:16:00,Leave
38744,2022-03-06 16:58:00,2022-03-06,16:58:00,Leave
38744,2022-03-13 17:34:00,2022-03-13,17:34:00,Leave
38744,2022-03-15 14:13:00,2022-03-15,14:13:00,Leave
38744,2022-09-29 09:01:00,2022-09-29,09:01:00,Attend
38744,2023-04-11 18:42:00,2023-04-11,18:42:00,Attend
38744,2023-06-01 14:13:00,2023-06-01,14:13:00,Leave
38744,2023-06-21 15:09:00,2023-06-21,15:09:00,Leave
38744,2024-01-28 08:14:00,2024-01-28,08:14:00,Attend
38746,2022-04-23 06:41:00,2022-04-23,06:41:00,Attend
38746,2022-04-29 19:48:00,2022-04-29,19:48:00,Leave
38746,2022-05-02 02:00:00,2022-05-02,02:00:00,Attend
38746,2022-05-06 07:55:00,2022-05-06,07:55:00,Attend
38746,2022-05-07 06:01:00,2022-05-07,06:01:00,Attend
38746,2022-06-03 06:17:00,2022-06-03,06:17:00,Attend
38746,2022-06-04 06:07:00,2022-06-04,06:07:00,Attend
38746,2022-06-10 01:56:00,2022-06-10,01:56:00,Attend
38746,2022-06-11 04:56:00,2022-06-11,04:56:00,Attend
38746,2022-06-17 06:14:00,2022-06-17,06:14:00,Attend
38746,2022-06-18 06:13:00,2022-06-18,06:13:00,Attend
38746,2022-07-13 08:10:00,2022-07-13,08:10:00,Attend
38746,2022-07-16 14:57:00,2022-07-16,14:57:00,Leave
38746,2022-08-17 04:56:00,2022-08-17,04:56:00,Attend
38746,2022-08-25 05:00:00,2022-08-25,05:00:00,Attend
38746,2022-09-06 05:04:00,2022-09-06,05:04:00,Attend
38746,2022-09-12 05:06:00,2022-09-12,05:06:00,Attend
38746,2022-09-14 05:26:00,2022-09-14,05:26:00,Attend
38746,2022-09-19 20:02:00,2022-09-19,20:02:00,Attend
38746,2022-09-20 05:28:00,2022-09-20,05:28:00,Attend
38746,2022-09-23 20:38:00,2022-09-23,20:38:00,Attend
38746,2022-09-24 05:09:00,2022-09-24,05:09:00,Attend
38746,2022-09-27 04:55:00,2022-09-27,04:55:00,Attend
38746,2022-10-06 04:56:00,2022-10-06,04:56:00,Attend
38746,2022-10-10 05:10:00,2022-10-10,05:10:00,Attend
38746,2022-10-13 05:05:00,2022-10-13,05:05:00,Attend
38746,2022-10-15 05:18:00,2022-10-15,05:18:00,Attend
38746,2022-11-05 05:22:00,2022-11-05,05:22:00,Attend
38746,2022-11-20 05:25:00,2022-11-20,05:25:00,Attend
38746,2023-01-06 18:27:00,2023-01-06,18:27:00,Attend
38746,2023-01-16 06:59:00,2023-01-16,06:59:00,Leave
38746,2023-01-17 05:03:00,2023-01-17,05:03:00,Attend
38746,2023-01-20 05:56:00,2023-01-20,05:56:00,Attend
38746,2023-01-27 05:14:00,2023-01-27,05:14:00,Attend
38746,2023-02-03 06:04:00,2023-02-03,06:04:00,Attend
38746,2023-02-08 05:05:00,2023-02-08,05:05:00,Attend
38746,2023-02-10 05:05:00,2023-02-10,05:05:00,Attend
38746,2023-02-17 05:17:00,2023-02-17,05:17:00,Attend
