EmployeeId,Transdate,DayOfWeek,CheckInTime,CheckOutTime,hours,CheckInHour,CheckOutHour,CheckInMinutes,CheckOutMinutes,cluster,Cluster
47834,2023-09-20,1,12:11:00,15:14:00,3.05,12,15,731.0,914.0,0,0
47834,2023-10-01,2,06:00:00,16:46:00,10.766666666666667,6,16,360.0,1006.0,0,0
47834,2023-10-02,3,08:56:00,15:36:00,6.666666666666667,8,15,536.0,936.0,0,0
47834,2023-10-03,3,09:19:00,14:08:00,4.816666666666666,9,14,559.0,848.0,0,0
47834,2023-10-04,0,09:11:00,15:32:00,6.35,9,15,551.0,932.0,0,0
47834,2023-10-09,6,08:17:00,14:31:00,6.233333333333333,8,14,497.0,871.0,0,0
47834,2023-10-10,6,08:11:00,14:34:00,6.383333333333334,8,14,491.0,874.0,0,0
47834,2023-10-12,0,08:19:00,14:37:00,6.3,8,14,499.0,877.0,0,0
47834,2023-10-16,1,08:10:00,14:56:00,6.766666666666667,8,14,490.0,896.0,0,0
47834,2023-10-17,2,08:15:00,14:29:00,6.233333333333333,8,14,495.0,869.0,0,0
47834,2023-10-18,2,08:14:00,14:13:00,5.983333333333333,8,14,494.0,853.0,0,0
47834,2023-10-22,6,08:15:00,15:18:00,7.05,8,15,495.0,918.0,0,0
47834,2023-10-23,6,08:01:00,15:51:00,7.833333333333333,8,15,481.0,951.0,0,0
47834,2023-10-24,0,08:14:00,15:09:00,6.916666666666667,8,15,494.0,909.0,0,0
47834,2023-10-25,0,08:16:00,15:29:00,7.216666666666667,8,15,496.0,929.0,0,0
47834,2023-10-26,1,08:12:00,14:06:00,5.9,8,14,492.0,846.0,0,0
47834,2023-10-30,2,07:55:00,14:46:00,6.85,7,14,475.0,886.0,0,0
47834,2023-10-31,2,08:12:00,15:02:00,6.833333333333333,8,15,492.0,902.0,0,0
47834,2023-11-01,3,09:55:00,14:39:00,4.733333333333333,9,14,595.0,879.0,0,0
47834,2023-11-05,6,08:36:00,16:18:00,7.7,8,16,516.0,978.0,0,0
47834,2023-11-06,6,08:16:00,16:35:00,8.316666666666666,8,16,496.0,995.0,0,0
47834,2023-11-07,0,08:45:00,14:55:00,6.166666666666667,8,14,525.0,895.0,0,0
47834,2023-11-08,0,08:21:00,14:51:00,6.5,8,14,501.0,891.0,0,0
47834,2023-11-09,1,08:15:00,14:12:00,5.95,8,14,495.0,852.0,0,0
47834,2023-11-12,1,08:17:00,15:14:00,6.95,8,15,497.0,914.0,0,0
47834,2023-11-13,2,09:04:00,15:06:00,6.033333333333333,9,15,544.0,906.0,0,0
47834,2023-11-15,6,08:27:00,16:03:00,7.6,8,16,507.0,963.0,0,0
47834,2023-11-16,6,08:17:00,16:02:00,7.75,8,16,497.0,962.0,0,0
47834,2023-11-19,0,08:41:00,14:55:00,6.233333333333333,8,14,521.0,895.0,0,0
47834,2023-11-20,0,08:47:00,13:51:00,5.066666666666666,8,13,527.0,831.0,0,0
47834,2023-11-21,1,08:58:00,14:34:00,5.6,8,14,538.0,874.0,0,0
47834,2023-11-22,1,08:55:00,15:30:00,6.583333333333333,8,15,535.0,930.0,0,0
47834,2023-11-26,2,08:49:00,15:14:00,6.416666666666667,8,15,529.0,914.0,0,0
47834,2023-11-27,2,08:28:00,15:12:00,6.733333333333333,8,15,508.0,912.0,0,0
47834,2023-11-28,3,08:39:00,15:34:00,6.916666666666667,8,15,519.0,934.0,0,0
47834,2023-11-29,3,08:49:00,14:39:00,5.833333333333333,8,14,529.0,879.0,0,0
47834,2023-12-03,6,10:14:00,16:21:00,6.116666666666666,10,16,614.0,981.0,0,0
47834,2023-12-07,0,09:23:00,16:09:00,6.766666666666667,9,16,563.0,969.0,0,0
47834,2023-12-13,1,09:23:00,15:52:00,6.483333333333333,9,15,563.0,952.0,0,0
47834,2023-12-14,1,08:52:00,16:14:00,7.366666666666666,8,16,532.0,974.0,0,0
47834,2023-12-17,2,09:24:00,15:34:00,6.166666666666667,9,15,564.0,934.0,0,0
47834,2023-12-18,2,09:06:00,15:33:00,6.45,9,15,546.0,933.0,0,0
47834,2023-12-20,3,08:54:00,15:34:00,6.666666666666667,8,15,534.0,934.0,0,0
47834,2023-12-21,6,09:00:00,15:15:00,6.25,9,15,540.0,915.0,0,0
47834,2023-12-24,6,09:16:00,16:30:00,7.233333333333333,9,16,556.0,990.0,0,0
47834,2023-12-26,0,09:16:00,15:11:00,5.916666666666667,9,15,556.0,911.0,0,0
