EmployeeId,TransDateTime,Transdate,Transtime,Type
47834,2023-09-17 05:59:00,2023-09-17,05:59:00,Leave
47834,2023-09-17 14:34:00,2023-09-17,14:34:00,Attend
48378,2023-09-18 13:39:00,2023-09-18,13:39:00,Attend
48378,2023-09-18 13:45:00,2023-09-18,13:45:00,Leave
48265,2023-09-18 05:59:00,2023-09-18,05:59:00,Leave
48265,2023-09-18 13:45:00,2023-09-18,13:45:00,Attend
48269,2023-09-18 05:59:00,2023-09-18,05:59:00,Leave
48269,2023-09-18 13:52:00,2023-09-18,13:52:00,Attend
48121,2023-09-19 07:45:00,2023-09-19,07:45:00,Attend
48121,2023-09-19 05:59:00,2023-09-19,05:59:00,Leave
47834,2023-09-19 05:59:00,2023-09-19,05:59:00,Leave
47834,2023-09-19 09:19:00,2023-09-19,09:19:00,Attend
48265,2023-09-19 09:35:00,2023-09-19,09:35:00,Attend
48461,2023-09-19 05:59:00,2023-09-19,05:59:00,Leave
48461,2023-09-19 10:43:00,2023-09-19,10:43:00,Attend
48532,2023-09-19 05:59:00,2023-09-19,05:59:00,Leave
48532,2023-09-19 11:10:00,2023-09-19,11:10:00,Attend
48269,2023-09-19 05:59:00,2023-09-19,05:59:00,Leave
48269,2023-09-19 11:40:00,2023-09-19,11:40:00,Attend
48191,2023-09-19 05:59:00,2023-09-19,05:59:00,Leave
48191,2023-09-19 11:43:00,2023-09-19,11:43:00,Attend
48265,2023-09-19 23:43:00,2023-09-19,23:43:00,Leave
48121,2023-09-20 07:57:00,2023-09-20,07:57:00,Attend
48265,2023-09-20 11:17:00,2023-09-20,11:17:00,Attend
48268,2023-09-20 11:27:00,2023-09-20,11:27:00,Attend
48191,2023-09-20 05:59:00,2023-09-20,05:59:00,Leave
48191,2023-09-20 11:33:00,2023-09-20,11:33:00,Attend
47834,2023-09-20 12:11:00,2023-09-20,12:11:00,Attend
48264,2023-09-20 05:59:00,2023-09-20,05:59:00,Leave
48264,2023-09-20 12:31:00,2023-09-20,12:31:00,Attend
47835,2023-09-20 05:59:00,2023-09-20,05:59:00,Leave
47835,2023-09-20 13:16:00,2023-09-20,13:16:00,Attend
47834,2023-09-20 15:02:00,2023-09-20,15:02:00,Leave
47834,2023-09-20 15:14:00,2023-09-20,15:14:00,Leave
48268,2023-09-20 15:14:00,2023-09-20,15:14:00,Leave
48121,2023-09-20 17:25:00,2023-09-20,17:25:00,Leave
48400,2023-09-20 05:59:00,2023-09-20,05:59:00,Leave
48400,2023-09-20 18:06:00,2023-09-20,18:06:00,Attend
48235,2023-09-20 06:00:00,2023-09-20,06:00:00,Attend
48235,2023-09-20 18:14:00,2023-09-20,18:14:00,Leave
48265,2023-09-20 19:32:00,2023-09-20,19:32:00,Leave
48121,2023-09-21 07:49:00,2023-09-21,07:49:00,Attend
48235,2023-09-21 09:12:00,2023-09-21,09:12:00,Attend
47834,2023-09-21 05:59:00,2023-09-21,05:59:00,Leave
47834,2023-09-21 09:41:00,2023-09-21,09:41:00,Attend
48265,2023-09-21 05:59:00,2023-09-21,05:59:00,Leave
48265,2023-09-21 10:56:00,2023-09-21,10:56:00,Attend
48264,2023-09-21 05:59:00,2023-09-21,05:59:00,Leave
48264,2023-09-21 11:44:00,2023-09-21,11:44:00,Attend
48264,2023-09-21 12:07:00,2023-09-21,12:07:00,Attend
48154,2023-09-21 13:47:00,2023-09-21,13:47:00,Attend
48308,2023-09-21 15:26:00,2023-09-21,15:26:00,Attend
48259,2023-09-21 06:00:00,2023-09-21,06:00:00,Attend
48259,2023-09-21 16:14:00,2023-09-21,16:14:00,Leave
48235,2023-09-21 16:43:00,2023-09-21,16:43:00,Leave
48121,2023-09-21 17:02:00,2023-09-21,17:02:00,Leave
48308,2023-09-21 17:35:00,2023-09-21,17:35:00,Leave
48154,2023-09-21 20:34:00,2023-09-21,20:34:00,Leave
48121,2023-09-23 07:48:00,2023-09-23,07:48:00,Attend
48235,2023-09-23 09:01:00,2023-09-23,09:01:00,Attend
48265,2023-09-23 05:59:00,2023-09-23,05:59:00,Leave
48265,2023-09-23 09:36:00,2023-09-23,09:36:00,Attend
48259,2023-09-23 05:59:00,2023-09-23,05:59:00,Leave
48259,2023-09-23 09:42:00,2023-09-23,09:42:00,Attend
48191,2023-09-23 05:59:00,2023-09-23,05:59:00,Leave
48191,2023-09-23 11:43:00,2023-09-23,11:43:00,Attend
48308,2023-09-23 13:58:00,2023-09-23,13:58:00,Attend
48235,2023-09-23 16:14:00,2023-09-23,16:14:00,Leave
48121,2023-09-23 16:20:00,2023-09-23,16:20:00,Leave
48308,2023-09-23 20:00:00,2023-09-23,20:00:00,Leave
48308,2023-09-24 08:37:00,2023-09-24,08:37:00,Attend
48121,2023-09-24 08:52:00,2023-09-24,08:52:00,Attend
48259,2023-09-24 10:03:00,2023-09-24,10:03:00,Attend
48269,2023-09-24 05:59:00,2023-09-24,05:59:00,Leave
48269,2023-09-24 10:07:00,2023-09-24,10:07:00,Attend
48154,2023-09-24 05:59:00,2023-09-24,05:59:00,Leave
48154,2023-09-24 10:36:00,2023-09-24,10:36:00,Attend
48235,2023-09-24 10:54:00,2023-09-24,10:54:00,Attend
48265,2023-09-24 05:59:00,2023-09-24,05:59:00,Leave
48265,2023-09-24 11:11:00,2023-09-24,11:11:00,Attend
48191,2023-09-24 05:59:00,2023-09-24,05:59:00,Leave
48191,2023-09-24 11:27:00,2023-09-24,11:27:00,Attend
48235,2023-09-24 16:08:00,2023-09-24,16:08:00,Leave
48121,2023-09-24 16:29:00,2023-09-24,16:29:00,Leave
48259,2023-09-24 16:34:00,2023-09-24,16:34:00,Leave
48308,2023-09-24 17:34:00,2023-09-24,17:34:00,Leave
47834,2023-09-25 08:50:00,2023-09-25,08:50:00,Attend
47834,2023-09-25 05:59:00,2023-09-25,05:59:00,Leave
48235,2023-09-25 09:14:00,2023-09-25,09:14:00,Attend
48191,2023-09-25 05:59:00,2023-09-25,05:59:00,Leave
48191,2023-09-25 11:46:00,2023-09-25,11:46:00,Attend
48264,2023-09-25 13:32:00,2023-09-25,13:32:00,Attend
48308,2023-09-25 14:32:00,2023-09-25,14:32:00,Attend
48235,2023-09-25 15:05:00,2023-09-25,15:05:00,Leave
48264,2023-09-25 18:09:00,2023-09-25,18:09:00,Leave
48308,2023-09-25 21:18:00,2023-09-25,21:18:00,Leave
48400,2023-09-28 05:59:00,2023-09-28,05:59:00,Leave
48400,2023-09-28 10:07:00,2023-09-28,10:07:00,Attend
48191,2023-09-28 05:59:00,2023-09-28,05:59:00,Leave
48191,2023-09-28 11:46:00,2023-09-28,11:46:00,Attend
48264,2023-09-28 14:13:00,2023-09-28,14:13:00,Attend
48264,2023-09-29 00:45:00,2023-09-29,00:45:00,Leave
48400,2023-09-29 05:59:00,2023-09-29,05:59:00,Leave
48400,2023-09-29 15:15:00,2023-09-29,15:15:00,Attend
48121,2023-09-30 07:44:00,2023-09-30,07:44:00,Attend
48400,2023-09-30 08:23:00,2023-09-30,08:23:00,Attend
48235,2023-09-30 08:53:00,2023-09-30,08:53:00,Attend
48261,2023-09-30 08:59:00,2023-09-30,08:59:00,Attend
48235,2023-09-30 05:59:00,2023-09-30,05:59:00,Leave
48400,2023-09-30 05:59:00,2023-09-30,05:59:00,Leave
48259,2023-09-30 05:59:00,2023-09-30,05:59:00,Leave
48259,2023-09-30 09:42:00,2023-09-30,09:42:00,Attend
48154,2023-09-30 09:45:00,2023-09-30,09:45:00,Attend
48265,2023-09-30 05:59:00,2023-09-30,05:59:00,Leave
48265,2023-09-30 11:06:00,2023-09-30,11:06:00,Attend
48455,2023-09-30 05:59:00,2023-09-30,05:59:00,Leave
48455,2023-09-30 11:07:00,2023-09-30,11:07:00,Attend
48191,2023-09-30 05:59:00,2023-09-30,05:59:00,Leave
48191,2023-09-30 11:23:00,2023-09-30,11:23:00,Attend
48154,2023-09-30 16:10:00,2023-09-30,16:10:00,Leave
48261,2023-09-30 16:25:00,2023-09-30,16:25:00,Leave
48121,2023-09-30 16:43:00,2023-09-30,16:43:00,Leave
47835,2023-09-30 05:59:00,2023-09-30,05:59:00,Leave
47835,2023-10-01 04:59:00,2023-10-01,04:59:00,Attend
48261,2023-10-01 09:22:00,2023-10-01,09:22:00,Attend
48265,2023-10-01 05:59:00,2023-10-01,05:59:00,Leave
48265,2023-10-01 09:26:00,2023-10-01,09:26:00,Attend
48269,2023-10-01 05:59:00,2023-10-01,05:59:00,Leave
48269,2023-10-01 10:09:00,2023-10-01,10:09:00,Attend
48191,2023-10-01 05:59:00,2023-10-01,05:59:00,Leave
48191,2023-10-01 10:19:00,2023-10-01,10:19:00,Attend
48235,2023-10-01 10:37:00,2023-10-01,10:37:00,Attend
48121,2023-10-01 05:59:00,2023-10-01,05:59:00,Leave
48121,2023-10-01 11:09:00,2023-10-01,11:09:00,Attend
48308,2023-10-01 11:51:00,2023-10-01,11:51:00,Attend
48461,2023-10-01 05:59:00,2023-10-01,05:59:00,Leave
48461,2023-10-01 12:07:00,2023-10-01,12:07:00,Attend
48423,2023-10-01 12:28:00,2023-10-01,12:28:00,Attend
48259,2023-10-01 12:30:00,2023-10-01,12:30:00,Attend
48455,2023-10-01 13:00:00,2023-10-01,13:00:00,Attend
48423,2023-10-01 15:42:00,2023-10-01,15:42:00,Leave
48235,2023-10-01 16:08:00,2023-10-01,16:08:00,Leave
48495,2023-10-01 05:59:00,2023-10-01,05:59:00,Leave
48495,2023-10-01 16:21:00,2023-10-01,16:21:00,Attend
48261,2023-10-01 16:21:00,2023-10-01,16:21:00,Leave
47834,2023-10-01 06:00:00,2023-10-01,06:00:00,Attend
47834,2023-10-01 16:46:00,2023-10-01,16:46:00,Leave
48455,2023-10-01 18:00:00,2023-10-01,18:00:00,Leave
48259,2023-10-01 18:49:00,2023-10-01,18:49:00,Leave
48308,2023-10-01 20:10:00,2023-10-01,20:10:00,Leave
48423,2023-10-02 07:48:00,2023-10-02,07:48:00,Attend
47834,2023-10-02 08:56:00,2023-10-02,08:56:00,Attend
48455,2023-10-02 08:58:00,2023-10-02,08:58:00,Attend
48268,2023-10-02 09:03:00,2023-10-02,09:03:00,Attend
48269,2023-10-02 09:17:00,2023-10-02,09:17:00,Attend
48235,2023-10-02 10:23:00,2023-10-02,10:23:00,Attend
48329,2023-10-02 05:59:00,2023-10-02,05:59:00,Leave
48329,2023-10-02 10:30:00,2023-10-02,10:30:00,Attend
48265,2023-10-02 05:59:00,2023-10-02,05:59:00,Leave
48265,2023-10-02 11:13:00,2023-10-02,11:13:00,Attend
48261,2023-10-02 11:20:00,2023-10-02,11:20:00,Attend
48461,2023-10-02 05:59:00,2023-10-02,05:59:00,Leave
48461,2023-10-02 11:35:00,2023-10-02,11:35:00,Attend
48191,2023-10-02 11:37:00,2023-10-02,11:37:00,Attend
48495,2023-10-02 13:25:00,2023-10-02,13:25:00,Attend
48455,2023-10-02 15:20:00,2023-10-02,15:20:00,Leave
48235,2023-10-02 15:25:00,2023-10-02,15:25:00,Leave
48423,2023-10-02 15:30:00,2023-10-02,15:30:00,Leave
48268,2023-10-02 15:34:00,2023-10-02,15:34:00,Leave
47834,2023-10-02 15:36:00,2023-10-02,15:36:00,Leave
48269,2023-10-02 16:29:00,2023-10-02,16:29:00,Leave
48259,2023-10-02 06:00:00,2023-10-02,06:00:00,Attend
48259,2023-10-02 17:01:00,2023-10-02,17:01:00,Leave
48261,2023-10-02 17:46:00,2023-10-02,17:46:00,Leave
48121,2023-10-02 06:00:00,2023-10-02,06:00:00,Attend
48121,2023-10-02 18:15:00,2023-10-02,18:15:00,Leave
48191,2023-10-02 18:27:00,2023-10-02,18:27:00,Leave
48495,2023-10-02 21:32:00,2023-10-02,21:32:00,Leave
48423,2023-10-03 08:37:00,2023-10-03,08:37:00,Attend
48268,2023-10-03 09:12:00,2023-10-03,09:12:00,Attend
48329,2023-10-03 09:16:00,2023-10-03,09:16:00,Attend
47834,2023-10-03 09:19:00,2023-10-03,09:19:00,Attend
48261,2023-10-03 09:29:00,2023-10-03,09:29:00,Attend
48121,2023-10-03 09:31:00,2023-10-03,09:31:00,Attend
48269,2023-10-03 05:59:00,2023-10-03,05:59:00,Leave
48269,2023-10-03 10:01:00,2023-10-03,10:01:00,Attend
48259,2023-10-03 10:02:00,2023-10-03,10:02:00,Attend
48154,2023-10-03 10:18:00,2023-10-03,10:18:00,Attend
48455,2023-10-03 10:42:00,2023-10-03,10:42:00,Attend
48191,2023-10-03 05:59:00,2023-10-03,05:59:00,Leave
48191,2023-10-03 11:25:00,2023-10-03,11:25:00,Attend
48265,2023-10-03 05:59:00,2023-10-03,05:59:00,Leave
48265,2023-10-03 11:26:00,2023-10-03,11:26:00,Attend
48308,2023-10-03 13:02:00,2023-10-03,13:02:00,Attend
47834,2023-10-03 14:08:00,2023-10-03,14:08:00,Leave
48268,2023-10-03 14:08:00,2023-10-03,14:08:00,Leave
48154,2023-10-03 14:37:00,2023-10-03,14:37:00,Leave
48261,2023-10-03 16:57:00,2023-10-03,16:57:00,Leave
48121,2023-10-03 17:16:00,2023-10-03,17:16:00,Leave
48329,2023-10-03 17:48:00,2023-10-03,17:48:00,Leave
48423,2023-10-03 15:00:00,2023-10-03,15:00:00,Leave
48455,2023-10-03 18:44:00,2023-10-03,18:44:00,Leave
48308,2023-10-03 20:02:00,2023-10-03,20:02:00,Leave
48259,2023-10-03 20:49:00,2023-10-03,20:49:00,Leave
48121,2023-10-04 07:40:00,2023-10-04,07:40:00,Attend
48423,2023-10-04 07:51:00,2023-10-04,07:51:00,Attend
48455,2023-10-04 08:24:00,2023-10-04,08:24:00,Attend
47834,2023-10-04 09:11:00,2023-10-04,09:11:00,Attend
48329,2023-10-04 05:59:00,2023-10-04,05:59:00,Leave
48329,2023-10-04 09:14:00,2023-10-04,09:14:00,Attend
48154,2023-10-04 05:59:00,2023-10-04,05:59:00,Leave
48154,2023-10-04 09:47:00,2023-10-04,09:47:00,Attend
48269,2023-10-04 10:12:00,2023-10-04,10:12:00,Attend
