EmployeeId,TransDateTime,Transdate,Transtime,Type
47835,2023-09-30 05:59:00,2023-09-30,05:59:00,Leave
47835,2023-10-01 04:59:00,2023-10-01,04:59:00,Attend
48102,2024-02-26 11:00:00,2024-02-26,11:00:00,Attend
48103,2023-10-18 07:54:00,2023-10-18,07:54:00,Attend
48103,2023-10-28 07:47:00,2023-10-28,07:47:00,Attend
48103,2023-11-08 07:57:00,2023-11-08,07:57:00,Attend
48103,2023-11-09 08:00:00,2023-11-09,08:00:00,Attend
48103,2023-11-23 08:05:00,2023-11-23,08:05:00,Attend
48103,2023-11-25 08:00:00,2023-11-25,08:00:00,Attend
48103,2023-12-16 08:03:00,2023-12-16,08:03:00,Attend
48103,2023-12-23 08:08:00,2023-12-23,08:08:00,Attend
48103,2023-12-24 08:13:00,2023-12-24,08:13:00,Attend
48103,2023-12-25 09:07:00,2023-12-25,09:07:00,Attend
48106,2023-10-29 14:02:00,2023-10-29,14:02:00,Leave
48106,2023-10-31 14:05:00,2023-10-31,14:05:00,Leave
48106,2023-11-01 08:08:00,2023-11-01,08:08:00,Attend
48106,2023-11-12 13:15:00,2023-11-12,13:15:00,Leave
48106,2023-11-14 08:05:00,2023-11-14,08:05:00,Attend
48106,2023-11-16 08:10:00,2023-11-16,08:10:00,Attend
48106,2023-12-18 08:12:00,2023-12-18,08:12:00,Attend
48106,2024-01-21 08:19:00,2024-01-21,08:19:00,Attend
48106,2024-01-29 14:33:00,2024-01-29,14:33:00,Leave
48106,2024-02-10 14:29:00,2024-02-10,14:29:00,Attend
48106,2024-03-23 08:06:00,2024-03-23,08:06:00,Attend
48106,2024-04-06 09:20:00,2024-04-06,09:20:00,Attend
48107,2023-11-05 10:12:00,2023-11-05,10:12:00,Attend
48107,2023-11-07 08:00:00,2023-11-07,08:00:00,Attend
48107,2023-12-03 07:59:00,2023-12-03,07:59:00,Attend
48107,2024-01-03 12:44:00,2024-01-03,12:44:00,Leave
48107,2024-01-07 13:06:00,2024-01-07,13:06:00,Leave
48107,2024-01-14 14:13:00,2024-01-14,14:13:00,Leave
48107,2024-01-16 09:03:00,2024-01-16,09:03:00,Attend
48107,2024-04-21 14:04:00,2024-04-21,14:04:00,Leave
48109,2024-01-10 09:01:00,2024-01-10,09:01:00,Attend
48111,2023-10-18 08:57:00,2023-10-18,08:57:00,Attend
48111,2023-10-28 08:57:00,2023-10-28,08:57:00,Attend
48111,2023-11-01 09:06:00,2023-11-01,09:06:00,Attend
48111,2023-11-15 08:01:00,2023-11-15,08:01:00,Attend
48111,2023-11-19 08:07:00,2023-11-19,08:07:00,Attend
48111,2023-11-20 14:16:00,2023-11-20,14:16:00,Leave
48111,2023-11-27 09:05:00,2023-11-27,09:05:00,Attend
48111,2023-12-06 08:11:00,2023-12-06,08:11:00,Attend
48113,2023-10-18 14:28:00,2023-10-18,14:28:00,Leave
48115,2023-10-12 09:22:00,2023-10-12,09:22:00,Attend
48115,2023-10-24 08:05:00,2023-10-24,08:05:00,Attend
48116,2023-10-23 08:01:00,2023-10-23,08:01:00,Attend
48116,2023-10-30 09:23:00,2023-10-30,09:23:00,Attend
48116,2023-11-09 07:56:00,2023-11-09,07:56:00,Attend
48116,2023-11-13 08:39:00,2023-11-13,08:39:00,Attend
48116,2023-11-22 09:07:00,2023-11-22,09:07:00,Attend
48116,2023-12-04 09:12:00,2023-12-04,09:12:00,Attend
48116,2023-12-06 08:18:00,2023-12-06,08:18:00,Attend
48116,2023-12-18 16:16:00,2023-12-18,16:16:00,Leave
48116,2023-12-25 09:17:00,2023-12-25,09:17:00,Attend
48116,2024-01-07 15:17:00,2024-01-07,15:17:00,Leave
48116,2024-01-08 10:04:00,2024-01-08,10:04:00,Attend
48116,2024-01-14 09:11:00,2024-01-14,09:11:00,Attend
48116,2024-01-15 09:05:00,2024-01-15,09:05:00,Attend
48116,2024-01-29 08:13:00,2024-01-29,08:13:00,Attend
48116,2024-01-31 08:16:00,2024-01-31,08:16:00,Attend
48116,2024-02-03 09:08:00,2024-02-03,09:08:00,Attend
48116,2024-02-05 09:11:00,2024-02-05,09:11:00,Attend
48116,2024-02-13 08:18:00,2024-02-13,08:18:00,Attend
48116,2024-02-18 09:13:00,2024-02-18,09:13:00,Attend
48116,2024-02-19 14:31:00,2024-02-19,14:31:00,Attend
48116,2024-02-26 14:35:00,2024-02-26,14:35:00,Leave
48116,2024-02-28 08:11:00,2024-02-28,08:11:00,Attend
48116,2024-03-02 08:11:00,2024-03-02,08:11:00,Attend
48116,2024-03-03 08:02:00,2024-03-03,08:02:00,Attend
48116,2024-03-04 08:13:00,2024-03-04,08:13:00,Attend
48116,2024-03-11 08:08:00,2024-03-11,08:08:00,Attend
48116,2024-03-19 08:20:00,2024-03-19,08:20:00,Attend
48116,2024-03-26 08:03:00,2024-03-26,08:03:00,Attend
48116,2024-04-20 08:11:00,2024-04-20,08:11:00,Attend
48116,2024-04-24 08:16:00,2024-04-24,08:16:00,Attend
48117,2023-12-20 09:34:00,2023-12-20,09:34:00,Attend
48117,2024-01-25 11:40:00,2024-01-25,11:40:00,Attend
48117,2024-01-31 14:13:00,2024-01-31,14:13:00,Attend
48117,2024-02-15 14:28:00,2024-02-15,14:28:00,Attend
48118,2023-10-28 08:18:00,2023-10-28,08:18:00,Attend
48118,2023-10-31 07:53:00,2023-10-31,07:53:00,Attend
48118,2023-11-25 08:46:00,2023-11-25,08:46:00,Attend
48118,2024-01-03 09:03:00,2024-01-03,09:03:00,Attend
48119,2023-10-28 07:48:00,2023-10-28,07:48:00,Attend
48119,2024-01-08 08:09:00,2024-01-08,08:09:00,Attend
48121,2023-11-10 09:56:00,2023-11-10,09:56:00,Attend
48121,2024-05-24 09:45:00,2024-05-24,09:45:00,Attend
48124,2023-11-05 08:13:00,2023-11-05,08:13:00,Attend
48124,2023-11-07 08:20:00,2023-11-07,08:20:00,Attend
48124,2023-11-12 08:04:00,2023-11-12,08:04:00,Attend
48124,2023-11-16 08:10:00,2023-11-16,08:10:00,Attend
48124,2023-11-19 08:13:00,2023-11-19,08:13:00,Attend
48124,2023-11-28 08:17:00,2023-11-28,08:17:00,Attend
48124,2023-12-11 09:14:00,2023-12-11,09:14:00,Attend
48124,2023-12-12 08:20:00,2023-12-12,08:20:00,Attend
48124,2023-12-16 09:43:00,2023-12-16,09:43:00,Attend
48124,2023-12-17 08:41:00,2023-12-17,08:41:00,Attend
48124,2023-12-24 08:24:00,2023-12-24,08:24:00,Attend
48124,2023-12-28 08:27:00,2023-12-28,08:27:00,Attend
48124,2024-01-02 08:19:00,2024-01-02,08:19:00,Attend
48124,2024-01-04 08:25:00,2024-01-04,08:25:00,Attend
48124,2024-01-08 09:42:00,2024-01-08,09:42:00,Attend
48124,2024-01-11 08:17:00,2024-01-11,08:17:00,Attend
48124,2024-01-28 09:21:00,2024-01-28,09:21:00,Attend
48124,2024-02-08 08:18:00,2024-02-08,08:18:00,Attend
48124,2024-02-25 09:21:00,2024-02-25,09:21:00,Attend
48124,2024-03-27 08:19:00,2024-03-27,08:19:00,Attend
48124,2024-04-21 08:18:00,2024-04-21,08:18:00,Attend
48124,2024-04-25 09:17:00,2024-04-25,09:17:00,Attend
48125,2023-11-15 15:02:00,2023-11-15,15:02:00,Leave
48125,2023-11-25 10:25:00,2023-11-25,10:25:00,Attend
48125,2023-12-13 15:34:00,2023-12-13,15:34:00,Attend
48125,2023-12-16 11:51:00,2023-12-16,11:51:00,Attend
48125,2023-12-30 11:34:00,2023-12-30,11:34:00,Attend
48125,2024-04-03 14:28:00,2024-04-03,14:28:00,Leave
48126,2023-10-31 12:40:00,2023-10-31,12:40:00,Leave
48126,2023-12-05 09:50:00,2023-12-05,09:50:00,Attend
48129,2024-03-26 09:06:00,2024-03-26,09:06:00,Attend
48129,2024-04-02 10:31:00,2024-04-02,10:31:00,Attend
48129,2024-04-21 10:48:00,2024-04-21,10:48:00,Attend
48130,2024-02-28 08:56:00,2024-02-28,08:56:00,Attend
48130,2024-03-02 10:06:00,2024-03-02,10:06:00,Attend
48130,2024-03-06 09:20:00,2024-03-06,09:20:00,Attend
48130,2024-03-13 15:08:00,2024-03-13,15:08:00,Leave
48130,2024-03-16 15:07:00,2024-03-16,15:07:00,Leave
48130,2024-03-27 10:59:00,2024-03-27,10:59:00,Attend
48130,2024-04-03 09:18:00,2024-04-03,09:18:00,Attend
48130,2024-04-24 13:26:00,2024-04-24,13:26:00,Leave
48132,2024-03-12 08:56:00,2024-03-12,08:56:00,Attend
48132,2024-03-24 08:58:00,2024-03-24,08:58:00,Attend
48135,2024-02-26 09:02:00,2024-02-26,09:02:00,Attend
48135,2024-03-02 09:58:00,2024-03-02,09:58:00,Attend
48136,2024-02-08 09:06:00,2024-02-08,09:06:00,Attend
48136,2024-02-13 09:10:00,2024-02-13,09:10:00,Attend
48136,2024-03-24 09:07:00,2024-03-24,09:07:00,Attend
48136,2024-04-16 09:11:00,2024-04-16,09:11:00,Attend
48137,2024-02-05 09:36:00,2024-02-05,09:36:00,Attend
48137,2024-02-28 09:28:00,2024-02-28,09:28:00,Attend
48140,2024-02-08 12:39:00,2024-02-08,12:39:00,Attend
48140,2024-03-24 09:28:00,2024-03-24,09:28:00,Attend
48140,2024-04-07 09:14:00,2024-04-07,09:14:00,Attend
48141,2024-02-15 08:37:00,2024-02-15,08:37:00,Attend
48141,2024-03-07 09:58:00,2024-03-07,09:58:00,Attend
48141,2024-03-12 08:58:00,2024-03-12,08:58:00,Attend
48143,2024-02-08 09:04:00,2024-02-08,09:04:00,Attend
48143,2024-02-25 09:06:00,2024-02-25,09:06:00,Attend
48143,2024-02-27 09:03:00,2024-02-27,09:03:00,Attend
48143,2024-03-24 09:00:00,2024-03-24,09:00:00,Attend
48143,2024-03-26 08:12:00,2024-03-26,08:12:00,Attend
48147,2024-02-03 10:13:00,2024-02-03,10:13:00,Attend
48147,2024-02-19 10:23:00,2024-02-19,10:23:00,Attend
48147,2024-02-21 09:15:00,2024-02-21,09:15:00,Attend
48147,2024-03-02 09:20:00,2024-03-02,09:20:00,Attend
48147,2024-03-20 10:04:00,2024-03-20,10:04:00,Attend
48147,2024-03-25 15:08:00,2024-03-25,15:08:00,Leave
48147,2024-04-08 09:55:00,2024-04-08,09:55:00,Attend
48147,2024-04-17 09:35:00,2024-04-17,09:35:00,Attend
48147,2024-04-20 10:22:00,2024-04-20,10:22:00,Attend
48150,2024-04-24 10:10:00,2024-04-24,10:10:00,Attend
48151,2024-02-17 09:52:00,2024-02-17,09:52:00,Attend
48151,2024-02-28 11:39:00,2024-02-28,11:39:00,Attend
48151,2024-04-20 10:05:00,2024-04-20,10:05:00,Attend
48152,2024-02-27 09:05:00,2024-02-27,09:05:00,Attend
48152,2024-03-12 14:42:00,2024-03-12,14:42:00,Leave
48152,2024-03-17 11:37:00,2024-03-17,11:37:00,Attend
48152,2024-03-24 09:10:00,2024-03-24,09:10:00,Attend
48152,2024-04-04 10:04:00,2024-04-04,10:04:00,Attend
48158,2024-03-06 09:42:00,2024-03-06,09:42:00,Attend
48160,2023-11-18 16:45:00,2023-11-18,16:45:00,Leave
48160,2023-11-21 18:03:00,2023-11-21,18:03:00,Leave
48160,2023-12-06 10:36:00,2023-12-06,10:36:00,Attend
48160,2024-01-01 17:31:00,2024-01-01,17:31:00,Leave
48160,2024-04-15 14:37:00,2024-04-15,14:37:00,Leave
48161,2024-04-15 17:30:00,2024-04-15,17:30:00,Leave
48161,2024-04-20 17:47:00,2024-04-20,17:47:00,Leave
48161,2024-04-22 17:55:00,2024-04-22,17:55:00,Leave
48161,2024-04-24 17:58:00,2024-04-24,17:58:00,Leave
48162,2024-02-08 16:27:00,2024-02-08,16:27:00,Leave
48162,2024-02-13 16:22:00,2024-02-13,16:22:00,Leave
48163,2024-02-03 11:01:00,2024-02-03,11:01:00,Attend
48163,2024-02-19 11:06:00,2024-02-19,11:06:00,Attend
48164,2024-02-13 16:26:00,2024-02-13,16:26:00,Leave
48164,2024-02-20 10:59:00,2024-02-20,10:59:00,Attend
48164,2024-02-27 17:04:00,2024-02-27,17:04:00,Leave
48164,2024-03-10 11:12:00,2024-03-10,11:12:00,Attend
48164,2024-03-14 15:59:00,2024-03-14,15:59:00,Leave
48164,2024-03-31 09:51:00,2024-03-31,09:51:00,Attend
48164,2024-04-04 10:09:00,2024-04-04,10:09:00,Attend
48167,2024-02-08 09:59:00,2024-02-08,09:59:00,Attend
48167,2024-04-04 10:02:00,2024-04-04,10:02:00,Attend
48169,2024-02-05 16:23:00,2024-02-05,16:23:00,Leave
48169,2024-03-13 10:15:00,2024-03-13,10:15:00,Attend
48169,2024-04-17 11:05:00,2024-04-17,11:05:00,Attend
48170,2024-02-07 16:01:00,2024-02-07,16:01:00,Leave
48170,2024-02-11 11:07:00,2024-02-11,11:07:00,Attend
48170,2024-03-02 16:31:00,2024-03-02,16:31:00,Leave
48170,2024-04-16 16:08:00,2024-04-16,16:08:00,Leave
48172,2024-03-06 09:40:00,2024-03-06,09:40:00,Attend
48172,2024-04-15 16:25:00,2024-04-15,16:25:00,Attend
48173,2024-02-29 10:05:00,2024-02-29,10:05:00,Attend
48174,2024-02-04 17:11:00,2024-02-04,17:11:00,Leave
48174,2024-02-13 11:02:00,2024-02-13,11:02:00,Attend
48174,2024-02-18 12:15:00,2024-02-18,12:15:00,Attend
48175,2024-04-15 16:50:00,2024-04-15,16:50:00,Leave
48176,2023-10-10 16:10:00,2023-10-10,16:10:00,Leave
48176,2024-01-09 16:22:00,2024-01-09,16:22:00,Leave
48176,2024-01-11 16:18:00,2024-01-11,16:18:00,Leave
48176,2024-01-22 15:59:00,2024-01-22,15:59:00,Leave
48176,2024-04-15 17:12:00,2024-04-15,17:12:00,Leave
48177,2023-10-22 18:07:00,2023-10-22,18:07:00,Leave
48177,2023-11-09 11:59:00,2023-11-09,11:59:00,Attend
48177,2023-12-07 12:02:00,2023-12-07,12:02:00,Attend
48177,2023-12-24 12:00:00,2023-12-24,12:00:00,Attend
48177,2023-12-31 12:00:00,2023-12-31,12:00:00,Attend
48177,2024-01-07 12:05:00,2024-01-07,12:05:00,Attend
48177,2024-01-16 11:59:00,2024-01-16,11:59:00,Attend
48177,2024-01-21 11:59:00,2024-01-21,11:59:00,Attend
48177,2024-01-25 12:05:00,2024-01-25,12:05:00,Attend
48177,2024-01-28 12:05:00,2024-01-28,12:05:00,Attend
48177,2024-01-30 13:39:00,2024-01-30,13:39:00,Attend
48177,2024-02-13 14:04:00,2024-02-13,14:04:00,Attend
48177,2024-02-27 17:04:00,2024-02-27,17:04:00,Leave
48177,2024-03-03 18:00:00,2024-03-03,18:00:00,Leave
48177,2024-03-05 17:07:00,2024-03-05,17:07:00,Leave
48177,2024-03-10 18:03:00,2024-03-10,18:03:00,Leave
48179,2024-03-25 11:02:00,2024-03-25,11:02:00,Attend
48180,2023-11-11 16:37:00,2023-11-11,16:37:00,Leave
48180,2023-11-14 10:26:00,2023-11-14,10:26:00,Attend
48180,2023-12-11 16:32:00,2023-12-11,16:32:00,Leave
48180,2023-12-14 16:28:00,2023-12-14,16:28:00,Leave
48180,2023-12-18 16:26:00,2023-12-18,16:26:00,Leave
48180,2023-12-26 17:14:00,2023-12-26,17:14:00,Leave
48180,2023-12-28 10:56:00,2023-12-28,10:56:00,Attend
48180,2024-01-04 16:18:00,2024-01-04,16:18:00,Leave
48180,2024-01-23 10:59:00,2024-01-23,10:59:00,Attend
48180,2024-01-25 15:42:00,2024-01-25,15:42:00,Leave
48180,2024-04-01 10:47:00,2024-04-01,10:47:00,Attend
48180,2024-04-16 16:11:00,2024-04-16,16:11:00,Leave
48180,2024-04-17 10:01:00,2024-04-17,10:01:00,Attend
48182,2023-10-22 17:40:00,2023-10-22,17:40:00,Leave
48182,2023-11-18 17:43:00,2023-11-18,17:43:00,Leave
48182,2023-11-23 13:49:00,2023-11-23,13:49:00,Attend
48182,2023-12-12 11:56:00,2023-12-12,11:56:00,Attend
48183,2024-03-05 17:30:00,2024-03-05,17:30:00,Leave
48183,2024-04-18 16:58:00,2024-04-18,16:58:00,Leave
48184,2023-10-11 17:31:00,2023-10-11,17:31:00,Leave
48184,2023-10-19 12:33:00,2023-10-19,12:33:00,Attend
48184,2023-11-28 18:06:00,2023-11-28,18:06:00,Leave
48184,2023-12-11 14:20:00,2023-12-11,14:20:00,Attend
48184,2023-12-12 14:16:00,2023-12-12,14:16:00,Attend
48184,2024-04-15 17:13:00,2024-04-15,17:13:00,Leave
48185,2024-03-01 18:17:00,2024-03-01,18:17:00,Leave
48188,2023-11-14 10:55:00,2023-11-14,10:55:00,Attend
48188,2023-11-15 11:23:00,2023-11-15,11:23:00,Attend
48188,2023-11-16 11:10:00,2023-11-16,11:10:00,Attend
48188,2023-11-18 10:58:00,2023-11-18,10:58:00,Attend
48188,2023-11-19 11:08:00,2023-11-19,11:08:00,Attend
48188,2023-11-23 11:01:00,2023-11-23,11:01:00,Attend
48188,2023-11-25 11:12:00,2023-11-25,11:12:00,Attend
48188,2023-12-07 11:00:00,2023-12-07,11:00:00,Attend
48188,2023-12-13 11:10:00,2023-12-13,11:10:00,Attend
48188,2023-12-16 11:11:00,2023-12-16,11:11:00,Attend
48188,2023-12-18 11:16:00,2023-12-18,11:16:00,Attend
48188,2023-12-31 11:28:00,2023-12-31,11:28:00,Attend
48188,2024-01-21 11:17:00,2024-01-21,11:17:00,Attend
48188,2024-01-22 11:10:00,2024-01-22,11:10:00,Attend
48188,2024-01-27 10:59:00,2024-01-27,10:59:00,Attend
48188,2024-02-04 11:16:00,2024-02-04,11:16:00,Attend
48188,2024-02-08 11:23:00,2024-02-08,11:23:00,Attend
48188,2024-02-20 11:02:00,2024-02-20,11:02:00,Attend
48188,2024-02-22 11:19:00,2024-02-22,11:19:00,Attend
48188,2024-03-28 10:07:00,2024-03-28,10:07:00,Attend
48188,2024-04-03 11:01:00,2024-04-03,11:01:00,Attend
48188,2024-04-06 11:02:00,2024-04-06,11:02:00,Attend
48188,2024-04-12 11:21:00,2024-04-12,11:21:00,Attend
48188,2024-04-13 13:41:00,2024-04-13,13:41:00,Attend
48188,2024-04-14 01:21:00,2024-04-14,01:21:00,Leave
48188,2024-04-16 11:51:00,2024-04-16,11:51:00,Attend
48188,2024-04-20 11:00:00,2024-04-20,11:00:00,Attend
48188,2024-04-22 03:22:00,2024-04-22,03:22:00,Leave
48188,2024-04-23 11:27:00,2024-04-23,11:27:00,Attend
48188,2024-04-25 13:51:00,2024-04-25,13:51:00,Attend
