EmployeeId,TransDateTime,Transdate,Transtime,Type
52015,2024-06-02 11:16:00,2024-06-02,11:16:00,Attend
52010,2024-06-02 11:53:00,2024-06-02,11:53:00,Attend
52036,2024-06-02 11:54:00,2024-06-02,11:54:00,Attend
52058,2024-06-02 11:54:00,2024-06-02,11:54:00,Attend
52075,2024-06-02 11:54:00,2024-06-02,11:54:00,Attend
52077,2024-06-02 11:54:00,2024-06-02,11:54:00,Attend
52078,2024-06-02 12:00:00,2024-06-02,12:00:00,Attend
52241,2024-06-02 12:01:00,2024-06-02,12:01:00,Attend
52004,2024-06-02 12:01:00,2024-06-02,12:01:00,Attend
52038,2024-06-02 12:02:00,2024-06-02,12:02:00,Attend
52076,2024-06-02 12:03:00,2024-06-02,12:03:00,Attend
52212,2024-06-02 12:03:00,2024-06-02,12:03:00,Attend
52063,2024-06-02 12:05:00,2024-06-02,12:05:00,Attend
52002,2024-06-02 12:05:00,2024-06-02,12:05:00,Attend
52005,2024-06-02 12:06:00,2024-06-02,12:06:00,Attend
51992,2024-06-02 12:07:00,2024-06-02,12:07:00,Attend
51996,2024-06-02 12:07:00,2024-06-02,12:07:00,Attend
52072,2024-06-02 12:07:00,2024-06-02,12:07:00,Attend
52205,2024-06-02 12:07:00,2024-06-02,12:07:00,Attend
51992,2024-06-02 12:08:00,2024-06-02,12:08:00,Attend
52210,2024-06-02 12:08:00,2024-06-02,12:08:00,Attend
52072,2024-06-02 12:08:00,2024-06-02,12:08:00,Attend
52067,2024-06-02 12:08:00,2024-06-02,12:08:00,Attend
51994,2024-06-02 12:11:00,2024-06-02,12:11:00,Attend
52030,2024-06-02 12:13:00,2024-06-02,12:13:00,Attend
52233,2024-06-02 12:13:00,2024-06-02,12:13:00,Attend
52224,2024-06-02 12:21:00,2024-06-02,12:21:00,Attend
52070,2024-06-02 13:16:00,2024-06-02,13:16:00,Attend
52039,2024-06-02 13:17:00,2024-06-02,13:17:00,Attend
51999,2024-06-02 15:17:00,2024-06-02,15:17:00,Attend
52030,2024-06-02 15:42:00,2024-06-02,15:42:00,Leave
52058,2024-06-02 15:54:00,2024-06-02,15:54:00,Leave
52059,2024-06-02 15:54:00,2024-06-02,15:54:00,Attend
52048,2024-06-02 15:55:00,2024-06-02,15:55:00,Attend
52075,2024-06-02 15:55:00,2024-06-02,15:55:00,Leave
52205,2024-06-02 15:55:00,2024-06-02,15:55:00,Leave
52057,2024-06-02 15:57:00,2024-06-02,15:57:00,Attend
52003,2024-06-02 16:01:00,2024-06-02,16:01:00,Attend
51997,2024-06-02 16:03:00,2024-06-02,16:03:00,Attend
52049,2024-06-02 16:04:00,2024-06-02,16:04:00,Attend
52224,2024-06-02 16:04:00,2024-06-02,16:04:00,Leave
51993,2024-06-02 16:05:00,2024-06-02,16:05:00,Attend
52042,2024-06-02 16:06:00,2024-06-02,16:06:00,Attend
52063,2024-06-02 16:06:00,2024-06-02,16:06:00,Leave
52060,2024-06-02 16:06:00,2024-06-02,16:06:00,Attend
52212,2024-06-02 16:06:00,2024-06-02,16:06:00,Leave
52220,2024-06-02 16:07:00,2024-06-02,16:07:00,Attend
52061,2024-06-02 16:07:00,2024-06-02,16:07:00,Attend
52064,2024-06-02 16:07:00,2024-06-02,16:07:00,Attend
52072,2024-06-02 16:07:00,2024-06-02,16:07:00,Leave
52076,2024-06-02 16:07:00,2024-06-02,16:07:00,Leave
52036,2024-06-02 16:07:00,2024-06-02,16:07:00,Leave
52241,2024-06-02 16:07:00,2024-06-02,16:07:00,Leave
52033,2024-06-02 16:07:00,2024-06-02,16:07:00,Attend
52015,2024-06-02 16:07:00,2024-06-02,16:07:00,Leave
52014,2024-06-02 16:08:00,2024-06-02,16:08:00,Attend
51994,2024-06-02 16:08:00,2024-06-02,16:08:00,Leave
52002,2024-06-02 16:08:00,2024-06-02,16:08:00,Leave
52072,2024-06-02 16:08:00,2024-06-02,16:08:00,Leave
52067,2024-06-02 16:08:00,2024-06-02,16:08:00,Leave
52084,2024-06-02 16:08:00,2024-06-02,16:08:00,Attend
52001,2024-06-02 16:09:00,2024-06-02,16:09:00,Attend
52236,2024-06-02 16:09:00,2024-06-02,16:09:00,Attend
51992,2024-06-02 16:10:00,2024-06-02,16:10:00,Leave
52001,2024-06-02 16:10:00,2024-06-02,16:10:00,Attend
52005,2024-06-02 16:10:00,2024-06-02,16:10:00,Leave
52214,2024-06-02 16:14:00,2024-06-02,16:14:00,Attend
52004,2024-06-02 17:00:00,2024-06-02,17:00:00,Leave
52024,2024-06-02 17:14:00,2024-06-02,17:14:00,Attend
52080,2024-06-02 17:18:00,2024-06-02,17:18:00,Attend
52081,2024-06-02 17:31:00,2024-06-02,17:31:00,Attend
52053,2024-06-02 18:27:00,2024-06-02,18:27:00,Attend
52216,2024-06-02 18:37:00,2024-06-02,18:37:00,Attend
52211,2024-06-02 18:49:00,2024-06-02,18:49:00,Attend
52091,2024-06-02 18:58:00,2024-06-02,18:58:00,Attend
51999,2024-06-02 19:27:00,2024-06-02,19:27:00,Attend
52066,2024-06-02 19:58:00,2024-06-02,19:58:00,Attend
52062,2024-06-02 19:58:00,2024-06-02,19:58:00,Attend
52059,2024-06-02 19:58:00,2024-06-02,19:58:00,Leave
