EmployeeId,TransDateTime,Transdate,Transtime,Type
52524,2024-06-08 18:20:00,2024-06-08,18:20:00,Attend
52524,2024-06-08 18:22:00,2024-06-08,18:22:00,Leave
52560,2024-06-01 08:41:00,2024-06-01,08:41:00,Attend
52569,2024-06-01 08:41:00,2024-06-01,08:41:00,Attend
52529,2024-06-01 10:04:00,2024-06-01,10:04:00,Attend
52549,2024-06-01 11:27:00,2024-06-01,11:27:00,Attend
52570,2024-06-01 11:45:00,2024-06-01,11:45:00,Attend
52564,2024-06-01 16:06:00,2024-06-01,16:06:00,Leave
52529,2024-06-01 16:06:00,2024-06-01,16:06:00,Leave
52569,2024-06-01 16:30:00,2024-06-01,16:30:00,Leave
52570,2024-06-01 16:39:00,2024-06-01,16:39:00,Leave
52560,2024-06-01 16:57:00,2024-06-01,16:57:00,Leave
52560,2024-06-02 08:13:00,2024-06-02,08:13:00,Attend
52550,2024-06-02 08:13:00,2024-06-02,08:13:00,Attend
52540,2024-06-02 08:33:00,2024-06-02,08:33:00,Attend
52539,2024-06-02 08:43:00,2024-06-02,08:43:00,Attend
52549,2024-06-02 08:49:00,2024-06-02,08:49:00,Attend
52574,2024-06-02 08:55:00,2024-06-02,08:55:00,Attend
52558,2024-06-02 09:05:00,2024-06-02,09:05:00,Attend
52573,2024-06-02 09:10:00,2024-06-02,09:10:00,Attend
52567,2024-06-02 09:15:00,2024-06-02,09:15:00,Attend
52570,2024-06-02 09:15:00,2024-06-02,09:15:00,Attend
52564,2024-06-02 09:16:00,2024-06-02,09:16:00,Attend
52572,2024-06-02 09:25:00,2024-06-02,09:25:00,Attend
52535,2024-06-02 10:29:00,2024-06-02,10:29:00,Attend
52557,2024-06-02 11:00:00,2024-06-02,11:00:00,Attend
52541,2024-06-02 12:17:00,2024-06-02,12:17:00,Attend
52548,2024-06-02 12:31:00,2024-06-02,12:31:00,Attend
52529,2024-06-02 12:38:00,2024-06-02,12:38:00,Attend
52524,2024-06-02 15:49:00,2024-06-02,15:49:00,Leave
52541,2024-06-02 16:33:00,2024-06-02,16:33:00,Leave
52574,2024-06-02 17:07:00,2024-06-02,17:07:00,Leave
52549,2024-06-02 17:18:00,2024-06-02,17:18:00,Leave
52558,2024-06-02 17:26:00,2024-06-02,17:26:00,Leave
52564,2024-06-02 17:26:00,2024-06-02,17:26:00,Leave
52535,2024-06-02 17:26:00,2024-06-02,17:26:00,Leave
52570,2024-06-02 17:27:00,2024-06-02,17:27:00,Leave
52540,2024-06-02 17:31:00,2024-06-02,17:31:00,Leave
52572,2024-06-02 17:32:00,2024-06-02,17:32:00,Leave
52524,2024-06-02 17:34:00,2024-06-02,17:34:00,Leave
52529,2024-06-02 17:39:00,2024-06-02,17:39:00,Leave
52540,2024-06-02 17:44:00,2024-06-02,17:44:00,Leave
52539,2024-06-02 18:00:00,2024-06-02,18:00:00,Leave
52573,2024-06-02 18:00:00,2024-06-02,18:00:00,Leave
52567,2024-06-02 18:12:00,2024-06-02,18:12:00,Leave
52557,2024-06-02 19:56:00,2024-06-02,19:56:00,Leave
52560,2024-06-02 19:56:00,2024-06-02,19:56:00,Leave
52548,2024-06-02 19:57:00,2024-06-02,19:57:00,Leave
52560,2024-06-03 08:09:00,2024-06-03,08:09:00,Attend
52573,2024-06-03 08:37:00,2024-06-03,08:37:00,Attend
52539,2024-06-03 08:39:00,2024-06-03,08:39:00,Attend
52540,2024-06-03 08:44:00,2024-06-03,08:44:00,Attend
52549,2024-06-03 08:57:00,2024-06-03,08:57:00,Attend
52569,2024-06-03 08:59:00,2024-06-03,08:59:00,Attend
52567,2024-06-03 09:10:00,2024-06-03,09:10:00,Attend
52570,2024-06-03 09:10:00,2024-06-03,09:10:00,Attend
52564,2024-06-03 09:13:00,2024-06-03,09:13:00,Attend
52558,2024-06-03 09:16:00,2024-06-03,09:16:00,Attend
52524,2024-06-03 09:50:00,2024-06-03,09:50:00,Attend
52541,2024-06-03 10:37:00,2024-06-03,10:37:00,Attend
52572,2024-06-03 10:59:00,2024-06-03,10:59:00,Attend
52529,2024-06-03 12:24:00,2024-06-03,12:24:00,Attend
52548,2024-06-03 15:12:00,2024-06-03,15:12:00,Leave
52539,2024-06-03 17:08:00,2024-06-03,17:08:00,Leave
52549,2024-06-03 17:17:00,2024-06-03,17:17:00,Leave
52529,2024-06-03 17:26:00,2024-06-03,17:26:00,Leave
52564,2024-06-03 17:42:00,2024-06-03,17:42:00,Leave
52570,2024-06-03 17:42:00,2024-06-03,17:42:00,Leave
52569,2024-06-03 17:45:00,2024-06-03,17:45:00,Leave
52573,2024-06-03 17:50:00,2024-06-03,17:50:00,Leave
52550,2024-06-03 17:58:00,2024-06-03,17:58:00,Leave
52572,2024-06-03 18:08:00,2024-06-03,18:08:00,Leave
52558,2024-06-03 18:15:00,2024-06-03,18:15:00,Leave
52524,2024-06-03 18:39:00,2024-06-03,18:39:00,Leave
52540,2024-06-03 19:07:00,2024-06-03,19:07:00,Leave
52567,2024-06-03 20:58:00,2024-06-03,20:58:00,Leave
52548,2024-06-03 20:59:00,2024-06-03,20:59:00,Attend
52560,2024-06-03 21:08:00,2024-06-03,21:08:00,Leave
52560,2024-06-04 07:55:00,2024-06-04,07:55:00,Attend
52535,2024-06-04 08:36:00,2024-06-04,08:36:00,Attend
52539,2024-06-04 08:36:00,2024-06-04,08:36:00,Attend
52573,2024-06-04 08:37:00,2024-06-04,08:37:00,Attend
52540,2024-06-04 08:42:00,2024-06-04,08:42:00,Attend
52569,2024-06-04 08:45:00,2024-06-04,08:45:00,Attend
52558,2024-06-04 09:19:00,2024-06-04,09:19:00,Attend
52570,2024-06-04 09:21:00,2024-06-04,09:21:00,Attend
52572,2024-06-04 09:30:00,2024-06-04,09:30:00,Attend
52557,2024-06-04 09:50:00,2024-06-04,09:50:00,Attend
52549,2024-06-04 10:06:00,2024-06-04,10:06:00,Attend
52529,2024-06-04 10:54:00,2024-06-04,10:54:00,Attend
52567,2024-06-04 11:13:00,2024-06-04,11:13:00,Attend
52541,2024-06-04 11:27:00,2024-06-04,11:27:00,Attend
52524,2024-06-04 12:14:00,2024-06-04,12:14:00,Attend
52548,2024-06-04 13:34:00,2024-06-04,13:34:00,Attend
