EmployeeId,TransDateTime,Transdate,Transtime,Type
52535,2024-06-26 08:26:00,2024-06-26,08:26:00,Attend
52535,2024-07-14 08:30:00,2024-07-14,08:30:00,Attend
52535,2024-07-15 08:27:00,2024-07-15,08:27:00,Attend
52535,2024-07-17 10:35:00,2024-07-17,10:35:00,Attend
52536,2024-08-05 07:16:00,2024-08-05,07:16:00,Attend
52543,2024-07-11 07:12:00,2024-07-11,07:12:00,Attend
52548,2024-07-25 00:21:00,2024-07-25,00:21:00,Attend
52548,2024-08-05 15:44:00,2024-08-05,15:44:00,Leave
52551,2024-07-02 19:29:00,2024-07-02,19:29:00,Attend
52552,2024-06-28 08:02:00,2024-06-28,08:02:00,Attend
52554,2024-07-25 08:20:00,2024-07-25,08:20:00,Attend
52556,2024-07-25 08:33:00,2024-07-25,08:33:00,Attend
52557,2024-08-05 10:28:00,2024-08-05,10:28:00,Attend
52560,2024-08-05 08:02:00,2024-08-05,08:02:00,Attend
52570,2024-06-24 08:38:00,2024-06-24,08:38:00,Attend
52570,2024-07-08 17:30:00,2024-07-08,17:30:00,Leave
52711,2024-08-05 10:55:00,2024-08-05,10:55:00,Attend
